org.springframework,spring-context,${spring.version}
org.springframework,spring-core,${spring.version}
org.springframework,spring-web,${spring.version}
org.springframework,spring-webmvc,${spring.version}
com.sun.jersey,jersey-client,1.11
javax.servlet,javax.servlet-api,3.1.0
